city,township,area_name,edit_date,change_date,old_address,new_address,edit_type,query_city,query_township,query_date_start,query_date_end,source_url,source_page,source_row_index,scraped_at,row_hash
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號二樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,15,2026-06-18T08:31:20.403671+00:00,f09cdd2fb94b1060f351a91a1b383a5953209bf86526e7b7dc072b454e46555c
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號二樓之２,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,16,2026-06-18T08:31:20.406218+00:00,1cf4e5992ba0a3c193eb69dd8215b33bda12813b629a91d2c05811389c61e1c5
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號四樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,17,2026-06-18T08:31:20.408594+00:00,67c59c7fa2f568912de21a4a837afe1f317f0120a3a2eac7d153f954fb27082d
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號四樓之２,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,18,2026-06-18T08:31:20.411161+00:00,104646d2cc21f75bb003c62ec1f1461752d689a99bff40560e7df98838b42935
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號五樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,19,2026-06-18T08:31:20.413439+00:00,064cad2d8186412d8232f8a38068251bd836840795359dbd9ac42f6381cbd3b3
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號四樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,20,2026-06-18T08:31:20.415354+00:00,b7e3f669a09f346afb5c53f6e4d6990b9acd0a2f43f7748d96f5724fa73322db
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號五樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,21,2026-06-18T08:31:20.418215+00:00,5399908c886f29504382d76fd5dc7b60e05fead71eca45d33d32d54c131d228a
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號七樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,22,2026-06-18T08:31:20.420964+00:00,7147952a82c07b58b0b7987cac196215c74614279b9cc880e5f4104f1f40ab08
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號三樓之２,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,23,2026-06-18T08:31:20.423227+00:00,8df08e7f18f2ffa33ca0210327d441e14d4e60240e795ce75ba51f2db8929079
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號七樓之２,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,24,2026-06-18T08:31:20.425761+00:00,2147c08442267cacda11165330e1d28ebf8131c86cd276f2a6263514153badfc
